Type,formula,K1/A0,L1/A1,K2/A2,L2/A3,K3/A4,L3/A5
N-LAF2,sellmeier_1,1.80984227,0.010171162,0.15729555,0.044243177,1.0930037,100.68774800000
BASF55,schott,2.8080853,-0.013076515,0.024961324,0.001941273,-0.000157767,1.4563E-05
K4,sellmeier_1,1.18909486,0.007893966,0.084135921,0.0339219,0.930219822,107.04949500000
H-LAFL5,sellmeier_1,1.26562517,102.65479700000,1.8132477,0.011161487,0.173525791,0.054138876
LAF11A,sellmeier_1,1.66890817,0.01138699,0.311963471,0.050031105,0.976838785,87.3247266
H-LAF3B,sellmeier_1,1.66486969,0.008956467,0.30162248,0.03502997,1.1973888,1.233344380E+02
air,1,,,,,,
